0	[2.90574217 1.29698909 1.72016191 2.45131612 2.94558277]
1	[0.95650791 0.77569218 2.11891133 3.99794912 2.82336935]
2	[3.48088995 2.27276919 2.51452793 0.6088498  4.96932701]
3	[2.3638094  0.73049487 2.2344675  0.57478731 2.85045958]
4	[2.57335257 2.17046766 0.52024746 1.9722452  2.56145353]
5	[4.68916388 3.900281   0.68468405 2.60188069 2.54477584]
6	[3.8923625  1.69943682 2.4335959  3.74320395 3.77741871]
7	[2.92505414 0.68627435 2.97645857 3.76812282 3.00876901]
8	[3.14369995 4.41782678 1.51188514 4.28094948 1.06840454]
9	[2.49783221 2.57846319 3.34993269 4.28952371 2.3639426 ]
10	[2.83424703 2.94748719 3.33280928 3.44881943 2.9827513 ]
11	[0.08494134 4.95737699 3.99454261 2.65212385 2.25503116]
12	[3.73939105 0.13105704 0.44783552 1.59090067 3.66443919]
13	[0.11938947 1.22108604 0.98931081 2.9848999  1.77584176]
14	[3.72190828 1.53556424 4.63882652 4.44980131 1.12428944]
15	[3.84912701 1.0134104  4.47608351 4.4753041  3.72605   ]
16	[2.2895054  3.96121224 3.5146027  0.50728196 0.35265729]
17	[4.99328348 2.65868794 4.40298494 2.56248703 2.03341847]
18	[2.61382776 0.12327814 4.69227965 4.54356534 3.22541838]
19	[2.28991012 2.24506487 1.60585274 3.93071881 3.69540405]
20	[2.59020673 2.4220428  0.42079356 4.86441614 4.81739615]
21	[0.8625265  3.95577952 0.25399329 1.82285749 0.14590273]
22	[0.57616533 3.32150903 1.61090567 4.15179372 1.46315788]
23	[1.40247432 2.2815734  4.808236   4.21487448 0.77345476]
24	[2.35166587 1.47065399 4.44308792 4.46650876 1.4026323 ]
25	[3.84961966 3.54141289 3.48664857 3.86826002 2.71435031]
26	[0.32172626 3.54983221 0.98725926 1.7317484  4.83365097]
27	[3.44887295 1.09913765 4.55917635 1.86547316 2.10258278]
28	[4.67542888 4.81988897 4.86020323 4.09657176 4.32730557]
29	[0.06457942 1.09006906 1.57303242 0.64472387 4.93068079]
30	[4.66694769 0.1110157  3.28963853 2.59454667 3.8231512 ]
31	[1.9314707  2.62534669 0.83703337 3.67421414 3.5671198 ]
32	[1.39975973 0.01632305 4.97107473 1.35123741 1.74976621]
33	[3.60282258 0.37574465 1.50004771 2.83436896 1.03033979]
34	[1.10967666 1.48413624 2.46845604 4.09367478 1.53611718]
35	[2.77438218 3.87089077 1.6777521  4.2105284  3.04477927]
36	[2.74648145 1.87024339 2.38395775 2.92501544 0.60743112]
37	[1.60555622 1.36190225 0.49345973 4.15786074 1.77643467]
38	[3.98689323 2.47031226 1.68455453 2.24198732 1.54920749]
39	[0.01121509 3.11322586 4.71028457 2.96252376 1.35307152]
40	[4.48480294 0.91210871 4.31494373 3.15445439 4.87843291]
41	[2.5790002  1.8975273  0.64846637 3.14807326 0.32991208]
42	[0.4960192  1.81615462 3.26689497 1.20142642 3.41663472]
43	[3.35097654 3.61589714 1.79628054 1.47754216 3.04517791]
44	[1.64828848 2.03016311 2.38319802 4.63443874 0.24715215]
45	[2.83360749 4.84744385 1.58061689 0.48483555 0.30492389]
46	[1.1131189  2.2423426  0.68409578 3.57477439 0.45779001]
47	[2.11606422 2.68846558 1.96430017 1.52344221 1.30179657]
48	[2.46727096 3.050083   3.71084265 2.50957995 0.68253053]
49	[2.20049646 1.51608174 2.42514174 2.1135651  4.70521371]
50	[4.11098273 1.72684837 1.02311088 4.00717381 1.11382915]
51	[4.45109725 0.40833232 1.32887185 3.09361162 4.75513594]
52	[2.8287618  1.36636647 2.17304237 1.15965939 1.28925365]
53	[1.73031792 4.43721334 1.99095705 3.16107248 3.50196969]
54	[4.76557397 1.73641198 0.91067092 1.07777542 2.91495812]
55	[1.70277671 2.32119706 3.90705639 3.94547898 3.24155831]
56	[3.52473898 1.55845649 0.83549583 3.49804584 3.11538515]
57	[0.35979328 1.75356374 1.01118963 0.03760019 4.90717607]
58	[1.68407107 1.15170663 0.73784031 4.60999341 0.59592702]
59	[4.09646026 0.29557579 2.48861345 0.30611846 3.29006617]
60	[0.87916195 1.3916617  0.98182866 2.38767154 4.69195114]
61	[2.89025577 2.78445675 0.06837118 2.56895945 2.34194757]
62	[4.26205947 1.11988638 3.82792882 3.51174241 1.70224663]
63	[0.33607217 0.61175505 3.32567467 2.52140864 4.50068137]
64	[2.93490868 4.53558737 0.98829727 2.38149806 3.01886501]
65	[4.47998604 2.96263253 0.18045497 0.86560935 1.16935094]
66	[3.03930389 4.27464772 3.83937285 2.01876329 2.66364021]
67	[0.90518073 4.49991063 0.87643605 2.20982975 3.70469639]
68	[1.43195876 0.44183626 2.0508285  3.23550279 4.47467847]
