0	[4.45 3.52 1.6  1.33 1.27]
1	[4.6  3.45 2.74 4.26 3.07]
2	[2.08 4.35 4.78 1.6  0.01]
3	[1.46 0.12 3.33 0.51 0.56]
4	[4.18 1.09 4.87 0.33 4.67]
5	[0.26 2.27 4.77 1.01 0.38]
6	[2.65 0.84 1.44 4.74 3.85]
7	[3.64 1.11 2.26 1.98 3.14]
8	[0.9  4.82 2.44 0.93 1.25]
9	[3.93 4.   0.64 1.77 2.39]
0	[4.02 3.28 1.61 0.64 3.26]
1	[0.68 0.68 0.7  4.6  4.71]
2	[3.69 1.18 2.9  0.19 1.85]
3	[2.47 3.9  1.04 0.46 3.6 ]
4	[2.89 1.31 2.78 3.01 0.81]
5	[2.39 4.22 2.55 4.88 1.56]
6	[1.17 1.25 1.52 3.75 4.72]
7	[3.   1.21 4.09 3.95 0.99]
8	[2.59 3.29 2.27 2.53 2.87]
9	[0.51 4.41 4.8  1.43 0.86]
0	[0.5  4.87 4.16 3.37 1.78]
1	[4.22 3.84 4.13 1.88 0.48]
2	[3.79 0.76 3.29 0.04 0.95]
3	[2.5  3.12 3.49 4.15 3.14]
4	[1.28 3.34 4.76 4.71 3.95]
5	[0.82 3.74 2.71 1.18 4.01]
6	[1.32 3.06 3.1  1.13 1.68]
7	[4.84 2.86 1.65 3.93 2.59]
8	[3.09 3.88 1.29 1.96 0.99]
9	[2.69 1.51 2.71 4.02 4.53]
0	[2.31 2.   0.1  2.65 4.14]
1	[2.96 4.58 2.6  1.42 4.92]
2	[0.04 3.82 2.36 3.1  3.81]
3	[4.93 3.56 4.47 3.68 1.28]
4	[4.63 4.49 3.27 2.16 1.99]
5	[1.63 3.26 1.13 1.14 4.1 ]
6	[1.95 2.1  4.49 2.81 0.08]
7	[4.36 3.74 1.22 3.69 0.3 ]
8	[4.2  2.3  1.32 4.05 1.51]
9	[3.88 0.05 1.54 3.96 2.38]
0	[4.69 4.93 3.11 3.12 0.21]
1	[1.52 2.19 2.06 1.45 4.56]
2	[2.98 4.31 1.04 4.43 4.79]
3	[1.85 2.6  3.47 3.44 1.94]
4	[1.58 2.17 4.76 3.39 1.13]
5	[2.93 0.66 3.81 2.4  0.48]
6	[4.54 4.96 3.54 0.75 4.56]
7	[3.48 1.49 2.97 1.07 2.41]
8	[2.58 0.59 4.74 2.23 3.59]
9	[3.2  1.05 3.47 2.73 1.56]
0	[4.39 0.66 2.46 0.64 2.88]
1	[1.67 4.24 3.84 3.61 1.51]
2	[1.56 0.27 1.41 0.74 4.39]
3	[3.83 4.17 0.44 2.36 3.43]
4	[2.44 1.52 3.54 4.83 2.04]
5	[0.53 3.59 0.05 2.57 4.97]
6	[1.58 4.03 4.25 4.24 0.94]
7	[2.01 0.19 0.84 0.14 1.33]
8	[0.75 2.07 1.38 4.39 3.3 ]
9	[1.33 2.91 1.91 3.4  3.68]
0	[2.06 4.89 3.02 0.17 0.71]
1	[2.81 1.26 5.   2.04 3.04]
2	[3.68 0.32 4.79 3.74 3.12]
3	[2.25 0.3  4.84 2.21 1.14]
4	[3.28 4.3  1.2  0.19 0.05]
5	[0.57 1.27 0.8  0.99 1.37]
6	[4.85 4.84 4.99 4.02 2.68]
7	[1.62 2.38 1.64 1.08 1.87]
8	[4.87 0.92 4.67 4.35 0.28]
9	[2.96 0.97 1.99 1.28 1.67]
0	[4.78 2.72 3.07 2.31 3.63]
1	[3.48 1.5  0.06 1.6  0.12]
2	[2.33 2.11 3.06 1.37 2.55]
3	[0.15 4.68 3.67 2.4  0.66]
4	[2.27 3.65 3.26 3.81 1.84]
5	[2.03 3.77 0.45 2.8  1.32]
6	[0.45 4.55 3.03 1.09 4.46]
7	[3.5  4.61 4.78 2.37 3.96]
8	[2.38 3.08 2.03 3.74 1.21]
9	[0.36 2.67 4.35 0.77 3.96]
0	[4.21 4.22 0.02 1.32 4.47]
1	[0.45 1.72 1.94 1.65 4.25]
2	[1.71 3.95 4.26 0.25 2.54]
3	[0.42 0.96 4.52 1.59 1.7 ]
4	[2.98 4.85 1.91 0.6  0.35]
5	[2.09 2.33 3.95 0.97 4.34]
6	[3.05 0.13 2.75 0.87 2.15]
7	[4.46 3.17 4.13 3.31 0.8 ]
8	[1.57 1.95 1.77 3.62 1.  ]
9	[3.54 2.21 1.14 3.02 0.02]
0	[3.91 1.64 2.05 2.34 1.92]
1	[4.64 3.38 3.31 3.92 0.98]
2	[1.03 0.73 1.71 3.12 0.39]
3	[0.86 0.62 2.44 2.28 4.16]
4	[2.28 2.86 0.2  0.13 1.66]
5	[0.72 0.68 3.18 0.81 2.37]
6	[3.88 2.56 3.35 0.63 4.7 ]
7	[0.39 3.   4.48 1.13 2.55]
8	[3.08 3.56 2.49 0.43 1.95]
9	[3.93 2.41 2.3  2.31 0.75]
